experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
72,4.0,28.57,51.43,35.43,47.463035583496094,1
0,5.0,62.5,0.0,43.75,42.87713623046875,0
48,7.0,30.43,34.29,31.59,37.77492904663086,1
18,4.0,28.57,12.86,23.86,32.314083099365234,1
192,12.0,75.0,100.0,82.5,47.83545684814453,1
1200,6.0,85.71,100.0,90.0,43.70004653930664,1
0,9.0,40.91,0.0,28.64,43.395606994628906,0
24,5.0,55.56,17.14,44.03,23.999317169189453,1
138,11.0,47.83,98.57,63.05,49.2647705078125,1
56,8.0,34.78,40.0,36.35,33.1649284362793,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
30,10.0,45.45,21.43,38.25,54.37096405029297,1
0,10.0,43.48,0.0,30.43,58.89906311035156,0
0,2.0,14.29,0.0,10.0,32.04396438598633,0
41,6.0,26.09,29.29,27.05,51.92742919921875,1
186,12.0,30.77,100.0,51.54,55.574737548828125,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
0,9.0,40.91,0.0,28.64,44.63466262817383,0
56,8.0,34.78,40.0,36.35,33.1649284362793,1
47,8.0,40.0,33.57,38.07,44.57701873779297,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
18,6.0,23.08,12.86,20.01,54.14874649047852,1
12,13.0,33.33,8.57,25.9,38.795806884765625,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
195,6.0,42.86,100.0,60.0,33.96768951416016,1
162,8.0,38.1,100.0,56.67,35.778682708740234,1
74,7.0,33.33,52.86,39.19,47.4081916809082,1
150,8.0,44.44,100.0,61.11,46.55548095703125,1
192,12.0,75.0,100.0,82.5,47.83545684814453,1
216,5.0,50.0,100.0,65.0,46.506629943847656,1
239,15.0,57.69,100.0,70.38,44.65376281738281,1
234,16.0,61.54,100.0,73.08,39.85112380981445,1
74,7.0,33.33,52.86,39.19,47.4081916809082,1
144,19.0,48.72,100.0,64.1,45.42509841918945,1
10,3.0,42.86,7.14,32.14,21.064529418945312,1
82,10.0,43.48,58.57,48.01,50.74542617797852,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
120,4.0,50.0,85.71,60.71,51.076133728027344,1
10,3.0,42.86,7.14,32.14,21.064529418945312,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
0,3.0,37.5,0.0,26.25,47.14085388183594,0
336,3.0,14.29,100.0,40.0,38.683712005615234,1
76,2.0,18.18,54.29,29.01,20.30009078979492,1
413,7.0,63.64,100.0,74.55,22.265199661254883,1
347,5.0,38.46,100.0,56.92,47.15470504760742,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
6,2.0,22.22,4.29,16.84,47.13792037963867,1
49,12.0,52.17,35.0,47.02,41.24518203735352,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
48,3.0,14.29,34.29,20.29,50.63600540161133,1
0,11.0,68.75,0.0,48.12,50.31530380249024,0
145,6.0,15.38,100.0,40.77,47.19845199584961,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
0,1.0,11.11,0.0,7.78,36.80459976196289,0
90,7.0,50.0,64.29,54.29,32.31297302246094,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
12,5.0,41.67,8.57,31.74,42.41764068603516,1
215,5.0,38.46,100.0,56.92,38.03501129150391,1
36,7.0,31.82,25.71,29.99,40.16301727294922,1
0,2.0,20.0,0.0,14.0,46.29946517944336,0
195,6.0,42.86,100.0,60.0,33.96768951416016,1
108,11.0,28.95,77.14,43.41,40.34574890136719,1
240,2.0,28.57,100.0,50.0,29.5466423034668,1
145,6.0,15.38,100.0,40.77,47.19845199584961,1
24,6.0,27.27,17.14,24.23,50.74444961547852,1
90,7.0,53.85,64.29,56.98,62.214351654052734,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
82,10.0,43.48,58.57,48.01,50.74542617797852,1
4,3.0,42.86,2.86,30.86,31.35429573059082,1
144,19.0,48.72,100.0,64.1,45.42509841918945,1
90,4.0,28.57,64.29,39.29,14.535117149353027,1
98,4.0,17.39,70.0,33.17,53.72257995605469,1
9,4.0,18.18,6.43,14.66,40.14003372192383,1
24,4.0,28.57,17.14,25.14,51.46327209472656,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
24,5.0,62.5,17.14,48.89,46.906246185302734,1
195,6.0,42.86,100.0,60.0,33.96768951416016,1
123,8.0,44.44,87.86,57.47,54.93272399902344,1
18,7.0,70.0,12.86,52.86,46.109901428222656,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
103,11.0,78.57,73.57,77.07,34.28677749633789,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
0,3.0,21.43,0.0,15.0,38.54662704467773,0
70,9.0,56.25,50.0,54.38,47.21343231201172,1
144,11.0,61.11,100.0,72.78,35.0181999206543,1
70,9.0,56.25,50.0,54.38,47.21343231201172,1
100,6.0,15.79,71.43,32.48,59.68855667114258,1
347,5.0,38.46,100.0,56.92,47.15470504760742,1
18,2.0,14.29,12.86,13.86,16.73974609375,1
